tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,dog_type,rating,dog_breed
8.92421E+17,8/1/2017 16:23,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,None,None,None,None,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,0.0970486,FALSE,bagel,0.0858511,FALSE,banana,0.07611,FALSE,37664,8210,,1.3,None
8.92177E+17,8/1/2017 0:17,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,None,None,None,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,TRUE,Pekinese,0.0906465,TRUE,papillon,0.0689569,TRUE,32352,6072,,1.3,Chihuahua
8.91815E+17,7/31/2017 0:18,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,None,None,None,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,TRUE,malamute,0.078253,TRUE,kelpie,0.0313789,TRUE,24372,4015,,1.2,Chihuahua
8.9169E+17,7/30/2017 15:58,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,None,None,None,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,0.170278,FALSE,Labrador_retriever,0.168086,TRUE,spatula,0.0408359,FALSE,40966,8360,,1.3,Labrador_retriever
8.91328E+17,7/29/2017 16:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,None,None,None,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,TRUE,English_springer,0.22577,TRUE,German_short-haired_pointer,0.175219,TRUE,39178,9067,,1.2,basset
8.91088E+17,7/29/2017 0:08,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,None,None,None,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,TRUE,Irish_terrier,0.116317,TRUE,Indian_elephant,0.0769022,FALSE,19701,3007,,1.3,Chesapeake_Bay_retriever
8.90972E+17,7/28/2017 16:27,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,None,None,None,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.341703,TRUE,Border_collie,0.199287,TRUE,ice_lolly,0.193548,FALSE,11518,1988,,1.3,Appenzeller
8.90729E+17,7/28/2017 0:22,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,None,None,None,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,TRUE,Eskimo_dog,0.178406,TRUE,Pembroke,0.0765069,TRUE,63523,18238,,1.3,Pomeranian
8.90609E+17,7/27/2017 16:25,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,None,None,None,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,TRUE,Irish_setter,0.193054,TRUE,Chesapeake_Bay_retriever,0.118184,TRUE,27089,4131,,1.3,Irish_terrier
8.9024E+17,7/26/2017 15:59,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,None,None,None,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,TRUE,Cardigan,0.451038,TRUE,Chihuahua,0.0292482,TRUE,31044,7128,doggo,1.4,Pembroke
8.90007E+17,7/26/2017 0:31,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,None,None,None,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,TRUE,Pomeranian,0.0138835,TRUE,chow,0.00816748,TRUE,29858,7089,,1.3,Samoyed
8.89881E+17,7/25/2017 16:11,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,None,None,None,None,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417,TRUE,Labrador_retriever,0.151317,TRUE,muzzle,0.0829811,FALSE,27063,4816,,1.3,French_bulldog
8.89665E+17,7/25/2017 1:55,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,,None,None,None,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,TRUE,Cardigan,0.0273557,TRUE,basenji,0.00463323,TRUE,46810,9705,puppo,1.3,Pembroke
